title|authors|year|isbn|isbn source file|
CANopen Implementation|Mohammad Farsi, Manuel Bernardo, Martins Barbosa, Manuel Bernardo Martins Barbosa|01/11/99|9780863802478|isbns-scatolone1.txt|
Designer's guide to the Cypress PSoC|Robert Ashby|2005|9780750677806|isbns-scatolone1.txt|
Power semiconductor circuits|S. B. Dewan|1975|047121180X|isbns-scatolone1.txt|
Electric machines and drives|Gordon R. Slemon|1992|201578859|isbns-scatolone1.txt|
Controller Area Network|Konrad Etschberger|August 22, 2001|9783000073762|isbns-scatolone1.txt|
Manuale del Motoriduttore|Bonfiglioli S.p.A. Riduttori (D.W. Dudley, J. Sprengers, D. Schröder, H. Yamashina)|July 29, 1997|9783540625087|isbns-scatolone1.txt|
Control of electrical drives|Werner Leonhard|1997|9783540593805|isbns-scatolone1.txt|
Designing embedded systems with PIC microcontrollers|Tim Wilmshurst|2007|9780750667555|isbns-scatolone1.txt|
Assembly language and systems programming for the M68000 family|Ford, William.|1992|9780669281996|isbns-scatolone1.txt|
Usare subito Internet|Guglielmi Luciano - Limongiello Gianpiero - Mattasoglio Andrea|1995|9788825607345|isbns-scatolone1.txt|
Advanced PIC Microcontroller Projects in C|Dogan Ibrahim|March 26, 2008|9780750686112|isbns-scatolone1.txt|
Introduzione al Turbo Pascal|Stivison Douglas S.|1990|8870214389|isbns-scatolone1.txt|
Pascal Made Simple|P. K. McBride|1997|9780750632423|isbns-scatolone1.txt
Programmare in Pascal|Peter Grogono|1995|8870212009|isbns-scatolone1.txt|https://www.amazon.it/Programmare-Pascal-Peter-Grogono/dp/8870212009
???|???|???|8870213676|isbns-scatolone1.txt|
Structured computer organization|Andrew S. Tanenbaum|1990|9780138528720|isbns-scatolone1.txt|
Introduzione alla programmazione ed elementi di strutture dati con il linguaggio C++|???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???|unknown year|9788846462022|isbns-scatolone1.txt|
Principles of electric machines and power electronics|P. C. Sen|1989|471850845|isbns-scatolone1.txt|
Compatibilità elettromagnetica|Bruno Audone|1993|9788838606120|isbns-scatolone1.txt|https://books.google.it/books/about/Compatibilit%C3%A0_elettromagnetica.html?hl=it&id=Tq0eAAAACAAJ&redir_esc=y
